order_id,store_id,quantity,item_name,choice_description,item_price
1,1,1,Izze,Clementine,$3.39 
1,1,1,N/Atucket Nectar,Apple,$3.39 
1,1,1,Chips and Tomatillo-Green Chili Salsa,,$2.39 
2,1,2,Chicken Bowl,"Tomatillo-Red Chili Salsa (Hot), Black Beans, Rice, Cheese, Sour Cream",$16.98 
3,1,1,Chicken Bowl,"Fresh Tomato Salsa (Mild), Rice, Cheese, Sour Cream, Guacamole, Lettuce",$10.98 
3,1,1,Side of Chips,,$1.69 
4,1,1,Steak Burrito,"Tomatillo Red Chili Salsa, Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce",$11.75 
4,1,1,Steak Soft Tacos,"Tomatillo Green Chili Salsa, Pinto Beans, Cheese, Sour Cream, Lettuce",$9.25 
5,1,1,Steak Burrito,"Fresh Tomato Salsa, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce",$9.25 
5,1,1,Chips and Guacamole,,$4.45 
6,1,1,Chicken Crispy Tacos,"Roasted Chili Corn Salsa, Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream",$8.75 
6,1,1,Chicken Soft Tacos,"Roasted Chili Corn Salsa, Rice, Black Beans, Cheese, Sour Cream",$8.75 
7,1,1,Chicken Bowl,"Fresh Tomato Salsa, Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole",$11.25 
7,1,1,Chips and Guacamole,,$4.45 
8,1,1,Chips and Tomatillo-Green Chili Salsa,,$2.39 
8,1,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Pinto Beans, Cheese, Sour Cream",$8.49 
9,1,1,Chicken Burrito,"Fresh Tomato Salsa (Mild), Black Beans, Rice, Cheese, Sour Cream, Lettuce",$8.49 
9,1,2,Canned Soda,Sprite,$2.18 
10,1,1,Chicken Bowl,"Tomatillo Red Chili Salsa, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce",$8.75 
10,1,1,Chips and Guacamole,,$4.45 
11,1,1,Barbacoa Burrito,"Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Rice, Cheese, Sour Cream, Lettuce",$8.99 
11,1,1,N/Atucket Nectar,Pomegranate Cherry,$3.39 
12,1,1,Chicken Burrito,"Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot), Pinto Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce",$10.98 
12,1,1,Izze,Grapefruit,$3.39 
13,1,1,Chips and Fresh Tomato Salsa,,$2.39 
13,1,1,Chicken Bowl,"Roasted Chili Corn Salsa (Medium), Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce",$8.49 
14,1,1,Carnitas Burrito,"Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium), Black Beans, Rice, Sour Cream, Lettuce",$8.99 
14,1,1,Canned Soda,Dr. Pepper,$1.09 
