FID,CITY_WARD,Shape__Area,Shape__Length,amount
1,01,6201922.67578125,12101.7540030144,50
2,02,12930049.3476563,16225.7310510508,25
3,03,3510449.81640625,11067.9244879698,75
4,04,7018266.39453125,15600.4450755117,50
5,05,8780912.91796875,13809.3720017975,10
6,06,5378289.125,13219.5870883539,10
7,07,3870654.828125,9220.31315136463,15
8,08,5166991.47265625,17782.7173041993,20
9,09,3260355.8359375,14105.4353275556,60
10,10,2611572.9765625,10070.954005686,25
11,11,5694194.62109375,14960.4303674983,35
12,12,3546904.85546875,9453.05919314202,50
13,13,11391843.4648438,21234.3292296301,70
14,14,12832551.859375,16515.2988822535,60
15,15,2072686.3515625,8304.30346610421,15
16,16,4320155.921875,11059.6499180045,20
17,17,13325411.4765625,21786.765232795,25
18,18,2328897.58203125,6750.26185127914,40
19,19,10171780.9492188,17064.9767794157,30
