Course,Section,Class,Credits,Title,Instructor(s),Time,Day,Room(s)
IST990,M001,29957,1.0,Independent Study,,12:00am - 12:00am,,
IST999,M001,21631,1.0,Dissertation,,12:00am - 12:00am,,
IST625,M001,21661,3.0,Enterprise Risk Management,Michelle L. Brown,9:30am - 12:15pm,W,Hinds Hall 021
IST625,M002,21902,3.0,Enterprise Risk Management,Frank Jr Marullo,5:00pm - 7:50pm,Tu,Newhouse 1 101
IST627,M002,21755,3.0,What's the Big Idea,William C Padgett  Marcene S. Sonneborn,2:00pm - 3:20pm,TuTh,Hinds Hall 021
IST639,M001,21696,3.0,Enterprise Technologies,P Douglas Taber,5:15pm - 8:05pm,W,Hinds Hall 027  Hinds Hall 111
IST641,M001,21711,3.0,User-Based Design,Michael S Nilan,12:30pm - 3:15pm,Th,Hinds Hall 120
IST645,M001,21664,3.0,Managing Info Systems Projects,Arthur P. Thomas,5:00pm - 7:45pm,Tu,Hinds Hall 021
IST645,M002,21665,3.0,Managing Info Systems Projects,Tom Uva,5:15pm - 8:05pm,M,Hinds Hall 117
IST645,M800,21666,3.0,Managing Info Systems Projects,Robert A Emborski,12:00am - 12:00am,,Online
IST645,M003,28656,3.0,Managing Info Systems Projects,Mark Andrew Borte,5:00pm - 7:50pm,Tu,Hinds Hall 111
IST649,M001,21900,3.0,Human Interaction W/Computers,Bryan Semaan,2:15pm - 5:00pm,W,Hinds Hall 011
IST649,M002,28508,3.0,Human Interaction W/Computers,Bryan Semaan,2:00pm - 4:45pm,Tu,Hinds Hall 018
IST653,M001,21648,3.0,Enterprise Network Mgmt I,Zixiang Tan,5:15pm - 8:05pm,M,Hinds Hall 027
IST654,M001,21633,3.0,Information Systems Analysis,Shraddha Caplash,9:30am - 12:15pm,F,Hinds Hall 111
IST654,M002,21828,3.0,Information Systems Analysis,Kevin G Crowston,9:30am - 12:15pm,W,SOM104
IST656,M800,21672,3.0,Enterprise Network Mgmt. II,Carlos Enrique Caicedo Bastidas,12:00am - 12:00am,,Online
IST659,M001,21634,3.0,Data Admin Concepts & Db Mgmt,Yun Huang,2:15pm - 5:05pm,M,Hinds Hall 013
IST659,M800,21670,3.0,Data Admin Concepts & Db Mgmt,Clark Bullard Thompson,12:00am - 12:00am,,Online
IST659,M003,21731,3.0,Data Admin Concepts & Db Mgmt,,9:30am - 12:20pm,M,Hinds Hall 013
IST659,M004,28888,3.0,Data Admin Concepts & Db Mgmt,,2:15pm - 5:05pm,W,Hinds Hall 013
IST664,M001,28947,3.0,Natural Language Processing,Nancy McCracken,12:45pm - 2:05pm,MW,Hinds Hall 013
IST668,M800,21726,3.0,Litrcy Through Schl Libraries,Barbara Stripling,12:00am - 12:00am,,Online
