location,lat,lng
Albany city,42.67,-73.8
Amsterdam city,42.94,-74.19
Auburn city,42.93,-76.57
Batavia city,43.0,-78.18
Beacon city,41.5,-73.97
Binghamton city,42.1,-75.91
Buffalo city,42.89,-78.86
Canandaigua city,42.89,-77.28
Cohoes city,42.77,-73.71
Corning city,42.15,-77.06
Cortland city,42.6,-76.18
Dunkirk city,42.48,-79.33
Elmira city,42.09,-76.81
Fulton city,43.32,-76.42
Geneva city,42.86,-76.98
Glen Cove city,40.89,-73.64
Glens Falls city,43.31,-73.65
Gloversville city,43.05,-74.35
Hornell city,42.33,-77.66
Hudson city,42.25,-73.79
Ithaca city,42.44,-76.5
Jamestown city,42.1,-79.24
Johnstown city,43.01,-74.38
Kingston city,41.93,-74
Lackawanna city,42.82,-78.83
Little Falls city,43.05,-74.86
Lockport city,43.17,-78.7
Long Beach city,40.59,-73.67
Mechanicville city,42.9,-73.69
Middletown city,41.45,-74.42
Mount Vernon city,40.91,-73.83
New Rochelle city,40.92,-73.78
New York city,40.66,-73.94
Newburgh city,41.5,-74.02
Niagara Falls city,43.09,-79.01
North Tonawanda city,43.05,-78.87
Norwich city,42.53,-75.52
Ogdensburg city,44.71,-75.47
Olean city,42.08,-78.43
Oneida city,43.08,-75.66
Oneonta city,42.46,-75.07
Oswego city,43.46,-76.5
Peekskill city,41.29,-73.92
Plattsburgh city,44.7,-73.46
Port Jervis city,41.38,-74.69
Poughkeepsie city,41.69,-73.92
Rensselaer city,42.65,-73.73
Rochester city,43.17,-77.62
Rome city,43.23,-75.49
Rye city,40.95,-73.68
Salamanca city,42.16,-78.72
Saratoga Springs city,43.07,-73.78
Schenectady city,42.8,-73.93
Sherrill city,43.07,-75.6
Syracuse city,43.04,-76.14
Tonawanda city,43.01,-78.88
Troy city,42.74,-73.68
Utica city,43.1,-75.23
Watertown city,43.97,-75.91
Watervliet city,42.72,-73.71
White Plains city,41.02,-73.75
Yonkers city,40.95,-73.87
