Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
33039513,04/01/2016 12:00:00 AM,04/05/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,11385,79-37 78 AVENUE,78 AVENUE,79 PLACE,80 STREET,,,ADDRESS,Ridgewood,,N/A,Closed,05/01/2016 09:07:26 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/05/2016 12:00:00 AM,05 QUEENS,QUEENS,1020259,196165,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70503110394122,-73.87012542090554,"(40.70503110394122, -73.87012542090554)"
33038059,04/01/2016 12:00:00 AM,05/12/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Cat,1-2 Family Dwelling,11220,876 54 STREET,54 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,05/01/2016 11:18:23 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,05/12/2016 12:00:00 AM,12 BROOKLYN,BROOKLYN,982995,171699,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63795059779506,-74.00452188865141,"(40.63795059779506, -74.00452188865141)"
33036988,04/01/2016 12:00:00 AM,05/12/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Cat,1-2 Family Dwelling,11220,876 54 STREET,54 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,05/01/2016 11:09:03 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,05/12/2016 12:00:00 AM,12 BROOKLYN,BROOKLYN,982995,171699,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63795059779506,-74.00452188865141,"(40.63795059779506, -74.00452188865141)"
33038564,04/01/2016 12:00:00 AM,05/11/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11213,1579 STERLING PLACE,STERLING PLACE,ROCHESTER AVENUE,BUFFALO AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,05/01/2016 11:00:08 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,05/11/2016 12:00:00 AM,08 BROOKLYN,BROOKLYN,1004684,183834,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.6712350268903,-73.92633753383667,"(40.6712350268903, -73.92633753383667)"
33036871,04/01/2016 12:00:00 AM,05/05/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11203,1284 BROOKLYN AVENUE,BROOKLYN AVENUE,CLARENDON ROAD,AVENUE D,,,ADDRESS,BROOKLYN,,N/A,Closed,05/01/2016 10:25:06 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,05/05/2016 12:00:00 AM,17 BROOKLYN,BROOKLYN,1000110,173225,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.64212502974628,-73.94285127829083,"(40.64212502974628, -73.94285127829083)"
33036885,04/01/2016 12:00:00 AM,05/06/2016 03:42:08 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,1-2 Family Dwelling,11411,120-43 234 STREET,234 STREET,120 AVENUE,121 AVENUE,,,ADDRESS,Cambria Heights,,N/A,Closed,05/01/2016 12:24:02 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,05/06/2016 03:42:08 PM,13 QUEENS,QUEENS,1058899,189239,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.685779319708104,-73.73083895399743,"(40.685779319708104, -73.73083895399743)"
33037119,04/01/2016 12:00:00 AM,05/02/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Commercial Building,11418,86-69 109TH STREET,109TH STREET,,,,,LATLONG,RICHMOND HILL,,N/A,Closed,05/01/2016 07:09:32 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,05/02/2016 12:00:00 AM,Unspecified QUEENS,QUEENS,1028931,193023,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69636752350331,-73.83886880624303,"(40.69636752350331, -73.83886880624303)"
33036171,04/01/2016 12:00:00 AM,04/29/2016 05:17:16 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11230,649 ARGYLE ROAD,ARGYLE ROAD,NEWKIRK AVENUE,FOSTER AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,05/01/2016 01:19:04 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/29/2016 05:17:16 PM,14 BROOKLYN,BROOKLYN,994009,170075,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63348777638846,-73.96483971201397,"(40.63348777638846, -73.96483971201397)"
33039832,04/01/2016 12:00:00 AM,04/28/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11429,227-32 109 AVENUE,109 AVENUE,227 STREET,CROSS ISLAND PARKWAY,,,ADDRESS,Queens Village,,N/A,Closed,05/01/2016 12:39:40 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/28/2016 12:00:00 AM,13 QUEENS,QUEENS,1059387,196784,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70648436351752,-73.72899522394731,"(40.70648436351752, -73.72899522394731)"
33034553,04/01/2016 12:00:00 AM,04/28/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10307,GIRARD STREET,GIRARD STREET,DEAD END,ARTHUR KILL ROAD,,,BLOCKFACE,STATEN ISLAND,,N/A,Closed,05/01/2016 07:46:48 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/28/2016 12:00:00 AM,Unspecified STATEN ISLAND,STATEN ISLAND,915101,126757,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.514324325489,-74.24869026711943,"(40.514324325489, -74.24869026711943)"
33038843,04/01/2016 12:00:00 AM,04/28/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10037,2171 MADISON AVENUE,MADISON AVENUE,BEND,MADISON AVENUE BRIDGE,,,ADDRESS,NEW YORK,,N/A,Closed,05/01/2016 06:36:35 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/28/2016 12:00:00 AM,11 MANHATTAN,MANHATTAN,1002060,235247,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81235649809728,-73.9356606506013,"(40.81235649809728, -73.9356606506013)"
