1978,Superman,DC,7.3,95,84,7465343,2.34,3190317.521,222584545
1980,Superman II,DC,6.7,88,77.5,14100523,2.69,5241830.112,227224681
1982,Swamp Thing,DC,5.3,60,56.5,,2.94,,231664458
1983,Superman III,DC,4.9,24,36.5,13352357,3.15,4238843.492,233791994
1984,Supergirl,DC,4.2,8,25,5738249,3.36,1707812.202,235824902
1986,Howard the Duck,Marvel,4.3,16,29.5,5070136,3.71,1366613.477,240132887
1987,Superman IV: The Quest for Peace,DC,3.6,10,23,5683122,3.91,1453483.887,242288918
1989,Batman,DC,7.6,71,73.5,40489746,3.97,10198928.46,246819230
1989,The Return of Swamp Thing,DC,3.9,40,39.5,,3.97,,246819230
1989,The Punisher,Marvel,5.4,24,39,,3.97,,246819230
1992,Batman Returns,DC,7,78,74,45687711,4.15,11009086.99,255029699
1995,Batman Forever,DC,5.4,42,48,52784433,4.35,12134352.41,262803276
1997,Batman & Robin,DC,3.6,12,24,42872605,4.59,9340436.819,267783607
1997,Steel,DC,2.7,12,19.5,870068,4.59,189557.2985,267783607
1998,Blade,Marvel,7,55,62.5,17073856,4.69,3640481.023,270248003
2000,X-Men,Marvel,7.4,82,78,54471475,5.39,10106025.05,282171957
2002,Blade II,Marvel,6.6,59,62.5,32528016,5.81,5598625.818,287803914
2002,Spider-Man,Marvel,7.4,89,81.5,114844116,5.81,19766629.26,287803914
2003,Daredevil,Marvel,5.4,45,49.5,40310419,6.03,6684978.275,290326418
2003,Hulk,Marvel,5.7,62,59.5,62128420,6.03,10303220.56,290326418
2003,X2,Marvel,7.6,88,82,85558731,6.03,14188844.28,290326418
2004,Blade: Trinity,Marvel,5.8,26,42,16061271,6.21,2586356.039,293045739
2004,Catwoman,DC,3.2,10,21,16728411,6.21,2693785.99,293045739
2004,Spider-Man 2,Marvel,7.5,93,84,88156227,6.21,14195849.76,293045739
2004,The Punisher,Marvel,6.4,29,46.5,13834527,6.21,2227782.126,293045739
2005,Batman Begins,DC,8.3,85,84,48745440,6.41,7604592.824,295753151
2005,Elektra,Marvel,4.8,10,29,12804793,6.41,1997627.613,295753151
2005,Fantastic Four,Marvel,5.7,27,42,56061504,6.41,8745944.462,295753151
2006,Superman Returns,DC,6.3,76,69.5,52535096,6.55,8020625.344,298593212
2006,X-Men: The Last Stand,Marvel,6.8,57,62.5,102750665,6.55,15687124.43,298593212
2007,Fantastic Four: Rise of the Silver Surfer,Marvel,5.7,37,47,58051684,6.88,8437744.767,301579895
2007,Ghost Rider,Marvel,5.2,26,39,45388836,6.88,6597214.535,301579895
2007,Spider-Man 3,Marvel,6.3,63,63,151116516,6.88,21964609.88,301579895
2008,The Dark Knight,DC,8.9,94,91.5,158411483,7.18,22062880.64,304374846
2008,The Incredible Hulk,Marvel,7,67,68.5,55414050,7.18,7717834.262,304374846
2008,Iron Man,Marvel,7.9,94,86.5,98618668,7.18,13735190.53,304374846
2008,Punisher: War Zone,Marvel,6,26,43,4271451,7.18,594909.61,304374846
2009,Watchmen,DC,7.7,64,70.5,55214334,7.5,7361911.2,307006550
2009,X-Men Origins: Wolverine,Marvel,6.7,37,52,85058003,7.5,11341067.07,307006550
2010,Iron Man 2,Marvel,7.1,74,72.5,128122480,7.89,16238590.62,308745538
2010,Jonah Hex,DC,4.6,13,29.5,5379365,7.89,681795.3105,308745538
2011,Captain America: The First Avenger,Marvel,6.8,79,73.5,65058524,7.93,8204101.387,311591917
2011,Green Lantern,DC,5.9,27,43,53174303,7.93,6705460.656,311591917
2011,Thor,Marvel,7,77,73.5,65723338,7.93,8287936.696,311591917
2011,X-Men: First Class,Marvel,7.9,87,83,55101604,7.93,6948499.874,311591917
2012,Marvel's The Avengers,Marvel,8.7,92,89.5,207438708,7.92,26191756.06,314055984
2012,The Dark Knight Rises,DC,9.1,86,88.5,160887295,7.92,20314052.4,314055984
2012,Ghost Rider: Spirit of Vengeance,Marvel,4.5,17,31,22115334,7.92,2792340.152,314055984
2012,The Amazing Spider-Man,Marvel,7.6,74,75,62004688,7.92,7828874.747,314055984
