Date / Time,City,State,Shape,Duration,Summary,Posted
5/31/16 23:00,Bloomfield,NM,Flash,2 minutes,((NUFORC Note: Anonymous source of report provides no information. Date is flawed. PD)),6/1/2016
5/31/16 21:30,Honey Brook,PA,Diamond,15 minutes,Object flew over house very close and quiet almost had a whooshing sound. Plane fly over house all the time this was not a plane,6/3/2016
5/31/16 16:15,Scarborough,ME,Cross,5 seconds,4 x-shaped flying objects.,6/1/2016
5/31/16 00:00,North Berwick,ME,Unknown,1 hour,"WHITE LIGHT SIZE OF SOFTBALL, MOVING BACK AND FORTH BETWEEN TREES WITH SMALL ORBS FOLLOWING OR HANGING OUT IN TREES.",6/1/2016
5/30/16 22:15,Elyria,OH,Sphere,1 minute,"Bright amber sphere, with one smaller sphere on each side of the craft.",6/1/2016
5/30/16 22:00,Tampa,FL,Circle,,Seen a lighting cloud and next to it was a bright circle shining.,6/1/2016
5/30/16 21:50,Blue Island,IL,Circle,1:30 minutes,Two objects were seen trailing each other approximately 400 ft. apart with a orange glow. No sound; commercial aircraft's were in area.,6/1/2016
5/30/16 21:45,Byron,GA,Triangle,30 minutes,We seen four bright orange triangler object two within 30sec of each other and another two about five minutes after. No sound and and m,6/1/2016
5/30/16 21:15,Palm Coast,FL,Sphere,~3 minutes,Glowing orange ball steady on SE course over Atlantic.,6/1/2016
5/30/16 21:15,North Syracuse,NY,Light,30 seconds,Light which looked like a star but flew by very fast. ((anonymous report)),6/1/2016
5/30/16 21:11,Central Square,NY,Sphere,1 minute,"I was looking at Mars through a telescope when I looked up and I saw it moving, had no flashing lights. I first thought it was a plane",6/1/2016
5/30/16 20:35,Avondale,AZ,Oval,2 minutes,"2 separate oval orange lights, not blinking, no sounds, were flying low should have heard engines, moving very slowly then disappears.",6/1/2016
5/30/16 15:40,Lake Stevens,WA,Chevron,Driving by,Black chevron floating upright.,6/1/2016
5/30/16 03:00,Litchfield,MN,Light,2-3 minutes,Round bright whit light that move from one horizon to the other.,6/1/2016
5/30/16 02:30,Troy,ME,Circle,6 minutes,((HOAX??)) 2:30 a.m. pitch black out. I saw a circular object sitting still in sky. Had 3 or 4 extremely bright white lights on it.,6/1/2016
5/30/16 02:20,Brockville (Canada),ON,Cylinder,40 seconds,Rotating Cylinder.,6/1/2016
5/30/16 00:00,Auburn,WA,Fireball,2 minutes,Fireball changing directions over Auburn.,6/1/2016
5/29/16 23:30,Buckeye,AZ,Light,30 minutes+,3 of us were in my back yard and seen a bright blue light slightly blinking and sometimes red lights in center. ((anonymous report)),6/1/2016
5/29/16 22:45,Lynden,WA,Sphere,5 minutes,"Three red, yellow spherical objects flickering and pulsating; larger than an airplane lights; in a triangular formation flying in the n",6/1/2016
5/29/16 22:20,Shinnston,WV,Light,<1 minute,formation of three lights seen then disappear,6/1/2016
5/29/16 22:15,Cumming,GA,Light,2-3 minutes,Two orange lights in the sky of Cumming Georgia,6/1/2016
5/29/16 22:15,Cumming,GA,Light,5 minutes,"Orange lights in the sky over Cumming, Georgia.",6/1/2016
5/29/16 21:45,Abilene,TX,Light,15,White light that makes quick 360 degree turns.,6/1/2016
5/29/16 21:45,Byron,GA,Triangle,30 minutes,We seen four bright orange triangler object two within 30sec of each other and another two about five minutes after. No sound.,6/1/2016
5/29/16 21:17,Boynton Beach,FL,Triangle,1 hour,Triangle like formation of 4 circles that appears to get dim then light up as it disappeared and reappeared. ((anonymous report)),6/1/2016
5/29/16 21:08,Madison,WI,Formation,155 seconds,I saw 5 lights floating in a formation.. They &quot;burned out&quot; or &quot;turned off&quot; one by one... I tok a video and tried to,6/1/2016
5/29/16 21:04,Port St. Lucie,FL,Light,~6 minutes,"A group of 15-20 lights over Port St. Lucie, Florida.",6/1/2016
5/29/16 21:03,Port St. Lucie,FL,Light,6-7 minutes,"Armada of 15-20 red, orange, and white lights over Port St. Lucie, Florida.",6/1/2016
5/29/16 21:00,Braidwood,IL,Other,1 minute,Bright orange light/Dome- or Bulb-Shaped Craft.,6/1/2016
5/29/16 21:00,Mt. Juliet,TN,Circle,2-3 minutes,"Red pulsating, round, small, silent UFO observed twice above very tall tree.",6/1/2016
5/29/16 20:50,Vaughn,ON,Diamond,1.30 seconds,((HOAX??))Craft flying one on top of eachother no lights color black dimond shape direction west to east no noise or lights.,6/1/2016
5/29/16 20:45,Suffield,CT,Other,30 seconds,Drone-like object. No sound. No light. No noticeable means of propulsion. North part of town.,6/1/2016
5/29/16 20:40,Troy,MO,Cross,4 minutes,Black cross-shaped tumbling object. No lights or sound.,6/1/2016
5/29/16 20:28,Franklin,TN,Rectangle,2 minutes,"An orange ball shaped object suddenly arose in west, changed to a rectangle going east, light began pulsating before it disappeared.",6/1/2016
5/29/16 20:28,Madison,WI,Light,2 minutes,"Single bright white light defies thunderstorm, lands.",6/1/2016
5/29/16 19:30,Lepoglava (Croatia),,Oval,10-15 seconds,"I have a RAW picture, take 3 shot of a landscape (all 3 shot in 2 sec) with my dslr. ((anonymous report))",6/1/2016
5/29/16 18:08,Anchorage,AK,Rectangle,2-3 minutes,Black oblong/rectangular ufo tumbling and turning without gaining much altitude,6/1/2016
