EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees
1997-1-1,27,12,-2,22,4,-8,92,74,59,30.52,30.22,29.86,10,9,1,14,5,,0.05,6,Snow,89
1997-1-2,34,28,23,33,29,21,100,96,88,29.84,29.74,29.53,9,2,0,8,4,,0.08,8,Fog-Rain-Snow,82
1997-1-3,44,40,36,44,38,34,100,96,89,29.90,29.68,29.50,10,4,0,15,6,,0.09,8,Fog-Rain,273
1997-1-4,48,40,34,44,36,33,96,90,83,29.99,29.87,29.62,10,10,8,13,4,,0.00,8,Rain,80
1997-1-5,55,46,37,50,43,29,89,81,73,29.62,29.45,29.29,10,10,10,21,11,30,0.13,8,Rain,199
1997-1-6,36,32,27,26,19,13,85,63,53,29.87,29.72,29.53,10,9,2,29,20,36,0.00,8,Snow,262
1997-1-7,28,26,23,22,15,11,91,68,49,30.01,29.89,29.83,10,5,0,32,20,38,0.01,8,Snow,275
1997-1-8,26,22,18,16,13,10,78,69,53,30.24,30.16,30.01,10,7,2,22,17,32,0.00,6,Snow,287
1997-1-9,25,18,10,22,14,7,92,84,69,30.20,29.82,29.36,10,7,1,16,7,,0.09,7,Snow,83
1997-1-10,33,29,25,28,20,12,96,70,50,29.44,29.29,29.21,10,9,0,22,10,28,0.05,8,Snow,225
1997-1-11,26,22,19,15,10,8,81,63,53,29.87,29.65,29.45,10,9,5,31,21,36,0.00,7,Snow,250
1997-1-12,21,20,19,14,10,8,74,65,58,30.19,30.05,29.87,10,9,6,31,24,36,0.00,7,Snow,252
1997-1-13,24,22,21,21,17,14,88,77,69,30.32,30.28,30.19,10,7,0,22,18,29,0.01,8,Snow,254
1997-1-14,28,24,21,18,16,12,80,72,63,30.34,30.32,30.28,10,9,9,22,17,28,0.00,8,Snow,254
1997-1-15,36,24,14,19,14,10,84,60,46,30.33,30.09,29.60,10,10,10,18,9,,0.00,6,,142
1997-1-16,39,27,12,31,19,1,88,65,47,29.66,29.46,29.35,10,9,1,29,20,41,0.02,7,Rain-Snow,248
1997-1-17,12,8,3,9,0,-8,96,70,50,29.91,29.82,29.68,10,4,0,28,18,33,0.03,7,Snow,267
1997-1-18,7,2,-2,3,-6,-12,84,68,53,30.17,29.98,29.78,10,6,1,22,14,26,0.02,6,Snow,275
1997-1-19,18,4,-8,2,-3,-13,83,63,47,30.15,30.05,29.89,10,8,1,16,7,,0.03,7,Snow,188
1997-1-20,32,26,19,28,19,5,93,76,50,30.14,29.87,29.75,10,6,1,20,11,22,0.03,8,Snow,252
1997-1-21,34,16,6,16,10,3,96,68,40,30.49,30.34,30.15,10,10,8,12,6,,0.00,5,Snow,62
1997-1-22,48,40,33,39,29,16,75,60,48,30.14,29.86,29.63,10,10,10,23,14,34,0.09,8,Rain,192
1997-1-23,46,27,7,36,16,-1,92,71,59,30.53,30.13,29.66,10,10,2,23,14,23,0.01,5,Rain-Snow,312
1997-1-24,37,22,6,30,11,-1,92,75,56,30.53,30.26,29.81,10,8,0,22,9,28,0.02,6,Fog-Rain-Snow,81
1997-1-25,48,38,25,41,28,17,86,70,51,29.94,29.69,29.53,10,9,1,31,16,41,0.00,7,Rain-Snow,235
1997-1-26,24,16,7,16,7,3,85,72,57,30.62,30.39,29.98,10,8,1,23,16,34,0.00,5,Snow,304
1997-1-27,32,16,3,27,11,-1,89,78,62,30.66,30.42,29.99,10,7,1,17,9,25,0.18,7,Snow,109
1997-1-28,37,28,19,32,20,9,96,78,62,30.28,30.08,29.81,10,7,0,26,15,36,0.04,7,Fog-Rain-Snow,255
1997-1-29,18,14,9,14,5,-1,88,71,54,30.65,30.56,30.30,10,8,0,21,12,,0.02,7,Fog-Snow,316
1997-1-30,19,12,6,11,5,2,83,71,56,30.58,30.34,30.06,10,10,3,13,7,,0.01,8,Snow,82
1997-1-31,39,28,19,33,24,12,92,78,64,30.05,29.77,29.51,10,9,2,14,7,,0.09,8,Rain-Snow,123
1997-2-1,39,34,28,34,30,24,93,81,64,30.06,29.75,29.48,10,10,7,16,9,,0.09,8,Rain-Snow,257
1997-2-2,36,31,26,26,25,23,89,78,67,30.20,30.15,30.06,10,10,7,8,5,,0.00,7,,118
1997-2-3,35,32,30,31,29,26,96,89,82,30.54,30.34,30.14,10,5,0,10,3,,0.08,8,Fog-Snow,300
1997-2-4,37,34,30,33,27,23,96,78,55,30.53,30.35,30.06,10,8,0,17,8,31,0.26,8,Fog-Rain-Snow,109
1997-2-5,39,34,30,35,32,28,96,86,80,30.05,29.93,29.86,10,9,3,21,12,26,0.12,8,Rain-Snow,238
1997-2-6,33,30,28,28,24,20,92,77,66,30.21,30.17,30.06,10,9,1,18,12,22,0.01,8,Snow,274
1997-2-7,32,30,28,27,23,18,89,77,56,30.32,30.24,30.16,10,8,2,15,10,,0.02,8,Snow,279
1997-2-8,30,22,14,23,13,8,85,65,45,30.38,30.34,30.30,10,10,8,10,6,,0.00,5,Snow,7
1997-2-9,28,19,10,15,12,8,88,72,53,30.34,30.30,30.26,10,10,10,12,6,,0.00,2,,263
1997-2-10,30,26,21,20,17,12,84,68,57,30.26,30.22,30.19,10,9,2,14,10,,0.00,8,Snow,255
1997-2-11,33,29,25,24,17,12,79,63,45,30.19,30.13,30.07,10,10,9,13,6,,0.00,7,Snow,223
1997-2-12,30,26,18,28,22,10,92,77,64,30.33,30.04,29.93,10,6,0,22,10,24,0.04,8,Fog-Snow,256
1997-2-13,19,10,0,6,-4,-8,69,52,31,30.77,30.58,30.38,10,10,10,14,8,,0.00,4,,50
1997-2-14,30,24,17,28,21,1,92,85,48,30.38,30.07,29.90,10,8,1,16,7,25,0.07,8,Rain-Snow,83
1997-2-15,35,30,21,28,23,11,92,76,62,30.27,30.01,29.90,10,8,1,22,10,22,0.01,7,Snow,267
1997-2-16,21,16,10,16,13,8,92,79,60,30.43,30.34,30.28,10,6,1,14,9,,0.03,8,Snow,40
1997-2-17,33,19,5,18,9,2,88,68,48,30.62,30.46,30.25,10,9,2,10,8,,0.00,6,Snow,232
1997-2-18,57,46,34,28,23,17,50,37,28,30.25,30.05,29.91,10,10,10,21,11,29,0.00,6,,209
1997-2-19,54,44,33,43,34,25,86,60,43,30.13,29.89,29.77,10,9,4,25,11,36,0.06,8,Rain-Snow,245
1997-2-20,46,36,26,30,22,17,73,59,43,30.42,30.28,30.01,10,10,9,23,13,26,0.00,6,Rain-Snow,111
1997-2-21,64,55,46,50,41,27,69,57,44,29.98,29.69,29.41,10,10,10,24,13,33,0.01,7,Rain,193
1997-2-22,61,44,25,50,26,12,76,64,54,30.15,29.77,29.37,10,9,4,38,19,50,0.05,7,Snow,257
1997-2-23,34,26,18,30,21,11,92,77,54,30.32,30.26,30.18,10,7,1,20,12,,0.02,7,Snow,253
1997-2-24,28,22,14,24,16,3,89,76,56,30.45,30.38,30.31,10,6,1,22,13,29,0.02,8,Rain-Snow,290
1997-2-25,26,14,3,14,7,0,88,68,49,30.45,30.30,30.04,10,9,2,13,6,,0.01,6,Snow,103
1997-2-26,54,42,30,39,24,11,97,52,37,30.03,29.94,29.78,10,10,7,22,11,26,0.08,6,Rain,218
1997-2-27,59,48,35,53,39,26,100,88,59,30.00,29.63,29.40,10,4,1,41,10,48,0.50,8,Rain,79
1997-2-28,35,32,28,26,24,22,88,76,64,30.39,30.29,30.06,10,10,10,18,10,,0.00,6,,320
1997-3-1,52,40,28,46,35,25,88,76,58,30.33,30.03,29.71,10,10,10,22,11,29,0.01,7,Rain,140
1997-3-2,55,44,33,52,37,23,93,74,59,30.10,29.77,29.51,10,9,2,28,17,33,0.18,7,Rain,267
1997-3-3,36,31,26,27,19,13,85,60,42,30.25,30.17,30.11,10,10,6,13,8,,0.00,7,Snow,56
1997-3-4,39,34,30,32,27,18,92,74,56,30.14,30.07,30.00,10,10,8,18,9,25,0.02,8,Rain-Snow,137
1997-3-5,50,42,33,39,36,31,97,85,66,30.14,29.98,29.58,10,8,2,12,4,,0.31,8,Rain,73
1997-3-6,37,32,28,36,26,17,96,81,59,29.95,29.68,29.34,10,5,0,26,16,40,0.18,8,Fog-Rain-Snow,294
1997-3-7,28,24,21,24,14,9,89,64,51,30.33,30.23,29.96,10,8,2,26,15,36,0.02,6,Snow,275
1997-3-8,30,26,21,26,18,12,92,74,58,30.53,30.22,30.01,10,7,1,20,8,24,0.10,8,Snow,17
1997-3-9,37,23,9,26,12,6,92,61,37,30.63,30.39,29.89,10,10,9,24,6,29,0.00,4,Rain,107
1997-3-10,42,38,33,32,27,24,89,66,49,29.92,29.88,29.78,10,10,7,29,15,34,0.02,7,Rain-Snow,252
1997-3-11,37,32,28,32,27,18,96,77,64,30.12,29.89,29.72,10,9,5,20,10,26,0.01,7,Rain-Snow,275
1997-3-12,32,28,23,26,16,7,92,64,41,30.42,30.23,30.14,10,9,0,31,14,37,0.00,5,Snow,286
1997-3-13,27,20,12,8,3,-1,74,49,34,30.58,30.51,30.42,10,10,10,13,7,,0.00,4,,16
1997-3-14,44,32,19,32,23,5,92,73,50,30.40,29.85,29.59,10,8,0,26,15,33,0.61,8,Fog-Rain-Snow,99
1997-3-15,37,29,21,24,13,7,75,58,45,30.19,30.01,29.73,10,9,3,30,20,40,0.00,6,Snow,268
1997-3-16,24,21,18,18,12,6,93,73,53,30.42,30.32,30.20,10,6,0,21,14,25,0.02,6,Fog-Snow,282
1997-3-17,42,30,18,29,17,9,68,55,38,30.38,30.15,29.95,10,10,10,16,9,24,0.00,7,,215
